Ada_numbering	Accessions	Country_of_origin	Race/Type	Source	Flowering_group
Avo-73	Reed	California, USA	Anaheim' X 'Nabal	BD cultivar collection	A
Avo-20	Frowe	USA	West Indian	BD avocado germplasm bank	
Avo-65	Moti	Israel	R27T27 x ?	BD cultivar collection, Akko exp. station cultivar collection	A
Avo-12	Guzman 	Mexico	West Indian	BD avocado germplasm bank	
Avo-58	"Urdesa ""S"""	Ecuador	West Indian	BD avocado germplasm bank	
Avo-5	Progresso	Honduras	West Indian	BD avocado germplasm bank	
Avo-50	Banos	Ecuador	Mexican	BD avocado germplasm bank	
Avo-184					
Avo-131	Naor	Israel	Horshim x self	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-176					
Avo-124	Pinkerton	California, USA	Hass x Rincon	Faculty of agriculture, Rehovot	A
Avo-169					
Avo-116	Fino TX-531	California, USA	לשאול את עמי	Faculty of agriculture, Rehovot	לברר מיקי
Avo-161					
Avo-108	Iriet	Israel	Hass x self	Rosh-Hanikra, Hanita and Ein Shemer	B
Avo-154					
Avo-101	Red Label	לשאול את עמי	לשאול את עמי	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	לשאול את עמי
Avo-146					
Avo-93	Ettinger	Israel	Mexican	BD cultivar collection	B
Avo-138	Edranol	California, USA	Guatemalan Hybrid	Gaaton Orchard	B
Avo-177					
Avo-130	Moti	Israel	R27T27 x ?	BD cultivar collection, Akko exp. station cultivar collection	A
Avo-170					
Avo-123	Fuerte	Mexico	Mexican x Guatemalan	Faculty of agriculture, Rehovot	B
Avo-162					
Avo-115	Green-Gold	Hawaii	Sharwill x ?	Faculty of agriculture, Rehovot	A
Avo-155	Gem	California, USA	Gwen x ?	Gaaton Orchard	A
Avo-107	Naor	Israel	Horshim x self	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-147					
Avo-100	Carmen Hass (Mendez)	Mexico	Mexican	BD cultivar collection	לברר מיקי
Avo-139	Zutano	California, USA	Mexican	Gaaton Orchard	B
Avo-183					
Avo-132	Iriet	Israel	Hass x self	Rosh-Hanikra, Hanita and Ein Shemer	B
Avo-125	Ardith	California, USA	Guatemalan Hybrid	Faculty of agriculture, Rehovot	A
Avo-168					
Avo-117					
Avo-160	Antigua	Mexico	West Indian	BD avocado germplasm bank	
Avo-109	Lavi	Israel	Hass x ?	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-153					
Avo-145	Galil	Israel	Oshri x self	Akko exp. station cultivar collection	לשאול את עמי
Avo-94	Hass	California, USA	Mexican x Guatemalan	BD cultivar collection, Faculty of agriculture, Rehovot 	A
Avo-137					
Avo-178					
Avo-129	Red Label	לשאול את עמי	לשאול את עמי	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	לשאול את עמי
Avo-171					
Avo-122	Nabal	Guatemala	Guatemalan	Faculty of agriculture, Rehovot	B
Avo-163					
Avo-114	Horshim	Israel	Mexican	Faculty of agriculture, Rehovot	B
Avo-156					
Avo-106	Moti	Israel	R27T27 x ?	BD cultivar collection, Akko exp. station cultivar collection	A
Avo-148					
Avo-99	Withsell	California, USA	Guatemalan	Faculty of agriculture, Rehovot	B
Avo-140	Noble (BL667)	California, USA	Gwen x ? (o.p)	Gaaton Orchard	B
Avo-182					
Avo-133	Lavi	Israel	Hass x ?	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-175					
Avo-126					
Avo-167					
Avo-118					
Avo-159	Arad	Israel	XX102 x N-151-2	Akko exp. station cultivar collection	A
Avo-110	Nir	Israel	לשאול את עמי	BD cultivar collection	A
Avo-152					
Avo-102	Teague	Israel	Mexican	BD cultivar collection	B
Avo-144					
Avo-95	Reed	California, USA	Anaheim' X 'Nabal	BD cultivar collection	A
Avo-136					
Avo-179					
Avo-172					
Avo-121	Bacon	California, USA	Mexican	Faculty of agriculture, Rehovot	B
Avo-164					
Avo-113	Tova	Israel	לשאול את עמי	Faculty of agriculture, Rehovot	A
Avo-105	Bar	Israel	Tova x XX102	BD cultivar collection	B
Avo-149					
Avo-98	Esther	California, USA	"Nabal`-self×a `Hass`-""grandchild"	Faculty of agriculture, Rehovot	A
Avo-141	N-151-2	California, USA	לשאול את עמי	Akko exp. station cultivar collection	A
Avo-181					
Avo-134	Orit	Israel	Local selection	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-174					
Avo-127	Gwen	California, USA	Hass x Thille	Faculty of agriculture, Rehovot	A
Avo-166					
Avo-119					
Avo-158	Iriet	Israel	Hass x self	Rosh-Hanikra, Hanita and Ein Shemer	B
Avo-111	Orit	Israel	Local selection	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-151					
Avo-103	Sharwil	Australia	Mexican x Guatemalan	BD cultivar collection	B
Avo-143		California, USA	Hass x Thille	Faculty of agriculture, Rehovot	A
Avo-96	Wurtz	California, USA	Guatemalan	ברכה אור	A
Avo-135					
Avo-180					
Avo-128	Ettinger	Israel	Mexican	BD cultivar collection	B
Avo-173					
Avo-120					
Avo-165					
Avo-112	Benik	Guatemala	Guatemalan	ברכה אור	A
Avo-157	Lavi	Israel	Hass x ?	BD cultivar collection, Akko exp. station cultivar collection, Gaaton orchrd	A
Avo-104	Shepard	Australia	Mexican	BD cultivar collection	B
Avo-150					
Avo-97	Lamb Hass (BL122)	California, USA	Gwen x Thille	BD cultivar collection	A
Avo-142	Oshri	Israel	לשאול את עמי	Akko exp. station cultivar collection	לשאול את עמי
